"ID","model","n_points","converged","R2","AIC","AICc","BIC"
"Aerobic Mesophilic._20_Cooked Chicken Breast_3","Quadratic",10,TRUE,0.962045633220523,-7.21176120204627,-3.21176120204627,-6.30400592306413
"Aerobic Mesophilic._20_Cooked Chicken Breast_3","Logistic",10,TRUE,-0.548650311466108,29.8757837970011,33.8757837970011,30.7835390759832
"Aerobic Mesophilic._20_Raw Chicken Breast_3","Quadratic",8,TRUE,0.985423916039365,-16.7416777020108,-10.7416777020108,-16.5033530769713
"Aerobic Mesophilic._20_Raw Chicken Breast_3","Logistic",8,TRUE,0.992795471730378,-22.3790564702602,-16.3790564702602,-22.1407318452207
"Aerobic Mesophilic._20_Salted Chicken Breast_3","Quadratic",8,TRUE,0.950302968007074,-5.91831412404829,0.0816858759517132,-5.67998949900878
"Aerobic Mesophilic._20_Salted Chicken Breast_3","Logistic",8,TRUE,0.921095518839134,-2.21997165348762,3.78002834651238,-1.98164702844812
"Aerobic Mesophilic._2_Cooked Chicken Breast_3","Quadratic",9,TRUE,0.931793937244469,-2.67357220665999,2.12642779334001,-2.08189847465133
"Aerobic Mesophilic._2_Cooked Chicken Breast_3","Logistic",9,TRUE,0.949008553570643,-5.2914522108416,-0.491452210841604,-4.69977847883295
"Aerobic Mesophilic._2_Raw Chicken Breast_3","Quadratic",10,TRUE,0.949300682435692,-7.56212078061721,-3.56212078061721,-6.65436550163507
"Aerobic Mesophilic._2_Raw Chicken Breast_3","Logistic",10,TRUE,0.963354990598643,-10.808472783682,-6.80847278368203,-9.9007175046999
"Aerobic Mesophilic._2_Salted Chicken Breast_3","Quadratic",10,TRUE,0.949285038090196,-7.95729480201938,-3.95729480201938,-7.04953952303724
"Aerobic Mesophilic._2_Salted Chicken Breast_3","Logistic",10,TRUE,0.959963572441885,-10.3216072532468,-6.32160725324679,-9.41385197426466
"Aerobic Mesophilic._4_Cooked Chicken Breast_3","Quadratic",6,TRUE,0.967423079998693,-0.376060688047334,11.6239393119527,-1.00078228036317
"Aerobic Mesophilic._4_Cooked Chicken Breast_3","Logistic",6,TRUE,0.985094136785167,-5.0671572219647,6.9328427780353,-5.69187881428054
"Aerobic Mesophilic._4_Raw Chicken Breast_3","Quadratic",7,TRUE,0.946674768528985,-2.39441833221925,5.60558166778075,-2.55668788505331
"Aerobic Mesophilic._4_Raw Chicken Breast_3","Logistic",7,TRUE,0.968850625268409,-6.15772636250443,1.84227363749557,-6.31999591533849
"Aerobic Mesophilic._4_Salted Chicken Breast_3","Quadratic",7,TRUE,0.956402422674644,-2.93843398102226,5.06156601897774,-3.10070353385632
"Aerobic Mesophilic._4_Salted Chicken Breast_3","Logistic",7,TRUE,0.976775447736109,-7.34697501695048,0.653024983049518,-7.50924456978454
"Aerobic Mesophilic._7_Cooked Chicken Breast_3","Quadratic",11,TRUE,0.93163252065092,3.65425351184819,7.08282494041962,4.8479393302433
