"model","Mean_R2","SD_R2","Mean_AIC","SD_AIC","Mean_AICc","SD_AICc","Mean_BIC","SD_BIC"
"Logistic",0.90564458955549,0.239428116452384,-38.0473119130822,43.3761838765696,-33.7029185065303,45.0784629873102,-36.5484178479194,42.3234455345656
"Quadratic",0.852430769891847,0.203609379526753,-24.5727436434578,35.8092463505817,-20.1373004154042,37.8311930599354,-23.1190508229943,34.868126486482
